name,organization,short_description,long_description,category,application_status,deadline,city,latitude,longitude,application_url,logo_url,tags
"RBC Summer Tech Labs Innovation Developer","Royal Bank of Canada","Join a paid 8-week tech internship building prototypes using JavaScript, GitHub, and REACT.","Grade 11 and 12 students work in teams of four to solve real business problems for RBC. This is a competitive, paid program located in downtown Toronto with a hybrid work model. Candidates should have a passion for computer science and engineering. Hardware is provided by the bank.","internship","open","2026-03-31","Toronto",43.6457,-79.3853,"https://www.rbc.com/en/future-launch/resource-type/programs-services/rbc-summer-tech-labs/","https://www.rbc.com/favicon.ico","tech,internship,toronto,stem,grades-11-12,paid"
"STEM Fellowship REO Program","STEM Fellowship","Conduct hands-on research and shadow lab personnel at university research facilities.","The Research Exploration Opportunity (REO) program pairs high school students with graduate student mentors. Participants visit first-class labs, learn scientific techniques, and contribute to active experiments. Priority is given to traditionally underrepresented groups in STEM.","research","seasonal","","Toronto",43.6629,-79.3957,"https://live.stemfellowship.org/research-exploration-opportunity/","","stem,research,university,toronto,mentorship,high-school"
"Sunnybrook Focused Ultrasound Summer Intern","Sunnybrook Health Sciences Centre","Assist researchers in the Focused Ultrasound Lab with engineering, technology, and medical projects.","This is a highly competitive, paid summer internship for Grade 11 and 12 students. Interns work on engineering design, experimental labs, and programming within the FUS Lab. Applicants must have strong academic standing in math and science. The program includes a full-time commitment for July and August.","research","seasonal","2026-02-20","Toronto",43.7231,-79.3784,"https://research.sunnybrook.ca/careers-and-students/summer-students/focused-ultrasound-high-school-summer-research-program/","https://sunnybrook.ca/favicon.ico","research,stem,toronto,engineering,grades-11-12,paid"
"Movia Media Hardware Engineering Intern","Movia Media","Gain hands-on experience with GPS impression analytics and hardware components for outdoor advertising.","High school students with an interest in computer engineering assist with hardware testing and data analytics. This winter internship provides exposure to proprietary impression technology and computer networking. Students work alongside professional engineers in a flexible environment.","internship","rolling","","Toronto",43.6532,-79.3832,"https://ca.indeed.com/q-internships-for-high-school-students-l-toronto,-on-jobs.html","","engineering,hardware,toronto,internship,tech,high-school"
"Prepr DevOps and Machine Learning Intern","Prepr","Learn to use AI tools and machine learning frameworks while supporting software development projects.","This virtual internship allows students to gain hands-on experience in DevOps and data science. Participants work on real-world projects, helping to operationalize AI for community benefit. It is an ideal role for students with foundational coding skills looking for professional mentorship.","internship","rolling","","Toronto",43.6532,-79.3832,"https://www.prepr.org/","","ai,machine-learning,virtual,toronto,internship,tech"
"Exiger AI Data Engineer Intern","Exiger","Explore how AI and natural language processing are used to safeguard digital assets and supply chains.","This paid internship is designed for senior high school students with strong foundations in data science. Interns assist with data cleansing, NLP training, and operationalizing AI workflows. The role provides unique insight into the intersection of cybersecurity and artificial intelligence.","internship","open","","Toronto",43.6532,-79.3832,"https://www.exiger.com/careers/","","data-science,ai,cybersecurity,toronto,internship,stem"
"Toronto International Leadership Centre Intern","Toronto International Leadership Centre","Support the delivery of capacity development programs for central bank and regulatory leaders.","This administrative internship provides exposure to international leadership development. The intern assists with daily operations, event logistics, and program research. It is a high-level role for students interested in economics, international relations, and public policy.","internship","rolling","","Toronto",43.6495,-79.3752,"https://www.torontocentre.org/","","policy,leadership,toronto,internship,international-relations,high-school"
"Shad Canada STEAM Leader","Shad Canada","Spend one month at a university campus exploring STEAM and entrepreneurship with top faculty.","Shad is a prestigious, month-long summer enrichment program for Grade 10 and 11 students. Participants engage in university-level lectures, design challenges, and collaborative projects. The program fosters a community of changemakers and innovators. Includes residential and digital options.","leadership","seasonal","2026-11-29","Toronto",43.6532,-79.3832,"https://www.shad.ca/","","stem,entrepreneurship,summer,university,leadership,high-school"
"UofT Daniels Design Discovery Participant","University of Toronto","Explore architecture and design through hands-on workshops and studio work at UofT.","This program at the John H. Daniels Faculty of Architecture provides an introduction to creative thinking. Students develop skills in design tools and techniques, building a foundation for studies in architecture. Suitable for students interested in the arts and built environment.","research","seasonal","","Toronto",43.6629,-79.3957,"https://future.utoronto.ca/high-school-enrichment-programs","https://www.utoronto.ca/favicon.ico","architecture,design,toronto,university-of-toronto,arts,research"
"AKFC Youth Leadership Academy Delegate","Aga Khan Foundation Canada (AKFC)","A fully funded 5-day program for teens to explore global citizenship and sustainable development.","Students aged 16–18 gather at York University to develop leadership skills and address global challenges. Participants commit to implementing an action project in their community. The program covers all costs for selected delegates. It is a highly selective and prestigious opportunity.","leadership","seasonal","2026-02-21","Toronto",43.7735,-79.5019,"https://www.akfc.ca/yac-recruitment/","","leadership,global-citizenship,toronto,sustainable-development,high-school"
"LetsStopAIDS Pitch Competitor","LetsStopAIDS","Apply for funding and receive mentorship to launch your own youth health advocacy project.","""The Winning Seed"" pitch competition encourages youth to develop innovative solutions for HIV prevention. Winners receive financial support and guidance from a global youth-led charity. It is an entrepreneurial approach to community service and public health.","leadership","rolling","","Toronto",43.6532,-79.3832,"https://www.letsstopaids.org/","","health,entrepreneurship,leadership,toronto,advocacy,high-school"
"Starlings Community Youth Advocate","Starlings Community INC","Participate in peer-informed advocacy for youth affected by parental substance use.","Youth aged 16–30 with lived experience collaborate on human rights advocacy and letter-writing projects. The program provides a safe space for social justice work and systemic change. It requires a 2-hour weekly commitment. Participants develop skills in writing and organizing.","leadership","rolling","","Toronto",43.6532,-79.3832,"https://www.starlings.ca/","","advocacy,mental-health,toronto,social-justice,leadership,youth"
"River Street Endodontics Clinic Intern","River Street Endodontics","Gain experience in dental clinic administration and patient care coordination.","This internship is ideal for students planning to pursue careers in healthcare or dentistry. Interns assist with patient check-ins, monitoring scheduling platforms, and maintaining infection prevention procedures. It provides hands-on experience in a high-quality clinical environment.","internship","rolling","","Toronto",43.6593,-79.3582,"https://ca.indeed.com/q-internships-for-high-school-students-l-toronto,-on-jobs.html","","healthcare,dentistry,toronto,internship,admin,high-school"
"Women & Children Social Network Leader","Women & Children Social Networking","Attend leadership conferences and manage community initiatives for women and youth.","Student volunteers attend the mandatory Youth Leadership Conference and lead local advocacy projects. The program focuses on building social capital and supporting vulnerable populations. It is a hybrid role involving both virtual coordination and in-person events in Mississauga and Toronto.","leadership","seasonal","","Mississauga",43.5890,-79.6441,"https://ca.indeed.com/q-high-school-student-internship-l-toronto,-on-jobs.html","","leadership,advocacy,peel-region,mississauga,youth,community-service"
"CivicAction Youth CivicCorps Team","CivicAction","Work in project teams to address local housing and affordability crises in the GTHA.","Youth CivicCorps places volunteers aged 18–30 (including senior high school students) with host organizations. Teams work on marketing, research, or advocacy projects related to economic inclusion. The program includes topical training and well-being resources.","leadership","closed","","Toronto",43.6532,-79.3832,"https://civicaction.ca/youth-civiccorps/","","civic,leadership,housing,toronto,gtha,advocacy,youth"
"Earth Rangers Teens Action Member","Earth Rangers","Lead environmental action projects at home and in the community as part of a national network.","Youth aged 13–18 join a community of environmental advocates. Participants complete projects such as pollinator garden creation or energy conservation and log their impact online. The program offers virtual networking and leadership within the Earth Rangers organization.","volunteering","rolling","","Toronto",43.7845,-79.5447,"https://www.earthrangers.com/","","environment,virtual,youth-led,toronto,year-round,volunteering"
"On Your Mark Online Tutor","Working Women Community Centre","Provide academic support to secondary students in math, science, and literacy via Zoom.","This program recruits tutors for the 2025/2026 school year. Tutors commit to two hours per week (after-school or Saturdays) to help students from the TCDSB and TDSB. Minimum age for tutors is 17. The program operates in an entirely online format.","tutoring-mentoring","rolling","","Toronto",43.6532,-79.3832,"https://www.workingwomencc.org/","","tutoring,virtual,toronto,education,school-year,mentoring"
"Kids Help Phone Event Volunteer","Kids Help Phone","Support high-impact fundraising events like the BMO Walk So Kids Can Talk.","Volunteers assist with event registration, route marshalling, and guest services. This short-term opportunity supports the mental health of youth across Canada. It is ideal for students needing 8+ hours in a single weekend. Participants join a large, high-energy community of volunteers.","volunteering","seasonal","2026-05-03","Toronto",43.6532,-79.3832,"https://kidshelpphone.ca/","","mental-health,events,toronto,volunteering,youth,community"
"Mackenzie Health Summer Student Volunteer","Mackenzie Health","Volunteer at Cortellucci Vaughan or Richmond Hill hospitals in patient-facing roles.","Students who have completed Grade 10 can apply for this structured summer term. Volunteers assist with wayfinding, registration, and patient companionship. A minimum commitment of one shift per week for the duration of the summer is required. Recruitment begins in March.","volunteering","seasonal","2026-03-27","Vaughan",43.8582,-79.5165,"https://mackenzie.vsyslive.com/","","hospital,york-region,summer,healthcare,high-school,volunteering"
